2026-02-28 23:20:39 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-28 23:20:39 | INFO     | dashboard | Filter callbacks registered
2026-02-28 23:20:39 | INFO     | dashboard | Tab callbacks registered
2026-02-28 23:20:39 | INFO     | dashboard | Download callbacks registered
2026-02-28 23:20:39 | INFO     | dashboard | Dashboard app initialized. Debug=True
2026-02-28 23:20:39 | INFO     | dashboard | Loading manifest from /Users/ricki/Local Projects/FMP_SerieA_Dashboard/outputs/manifest.json
2026-02-28 23:20:39 | INFO     | dashboard | Manifest loaded: 8 artifacts
2026-02-28 23:20:39 | INFO     | dashboard | Filter callbacks registered
2026-02-28 23:20:39 | INFO     | dashboard | Tab callbacks registered
2026-02-28 23:20:39 | INFO     | dashboard | Download callbacks registered
2026-02-28 23:20:39 | INFO     | dashboard | Dashboard app initialized. Debug=True
